"","country","continent","variable","value"
"398","Singapore","Asia","total_recovered",62863
"399","Sint Maarten","North America","total_recovered",2655
"400","Slovakia","Europe","total_recovered",379535
"401","Slovenia","Europe","total_recovered",253742
"402","Solomon Islands","Australia/Oceania","total_recovered",20
"403","Somalia","Africa","total_recovered",7498
"404","South Africa","Africa","total_recovered",2222338
"405","South Korea","Asia","total_recovered",174177
"406","South Sudan","Africa","total_recovered",10514
"407","Spain","Europe","total_recovered",3711200
"408","Sri Lanka","Asia","total_recovered",277118
"409","State Of Palestine","Asia","total_recovered",311832
"410","Sudan","Africa","total_recovered",30867
"411","Suriname","South America","total_recovered",21610
"412","Swaziland","Africa","total_recovered",20918
"413","Sweden","Europe","total_recovered",1076030
"414","Switzerland","Europe","total_recovered",692101
"415","Syria","Asia","total_recovered",21987
"416","Taiwan","Asia","total_recovered",14110
"417","Tajikistan","Asia","total_recovered",14556
"418","Tanzania","Africa","total_recovered",183
"419","Thailand","Asia","total_recovered",391920
"420","Timor Leste","Asia","total_recovered",9889
"421","Togo","Africa","total_recovered",14450
"422","Trinidad And Tobago","North America","total_recovered",31783
"423","Tunisia","Africa","total_recovered",510696
"424","Turkey","Asia","total_recovered",5454360
"425","Turks And Caicos Islands","North America","total_recovered",2431
"426","Uganda","Africa","total_recovered",83115
"427","United Kingdom","Europe","total_recovered",4508650
"428","Ukraine","Europe","total_recovered",2186863
"429","United Arab Emirates","Asia","total_recovered",658198
"430","Uruguay","South America","total_recovered",373290
"431","United States of America","North America","total_recovered",29666084
"432","Uzbekistan","Asia","total_recovered",123164
"433","Vanuatu","Australia/Oceania","total_recovered",3
"434","Venezuela","South America","total_recovered",288864
"435","Vietnam","Asia","total_recovered",35484
"436","Wallis And Futuna Islands","Australia/Oceania","total_recovered",438
"437","Western Sahara","Africa","total_recovered",8
"438","Yemen","Asia","total_recovered",4185
"439","Zambia","Africa","total_recovered",187236
"440","Zimbabwe","Africa","total_recovered",74562
"441","Afghanistan","Asia","active_cases",42664
"442","Albania","Europe","active_cases",402
"443","Algeria","Africa","active_cases",51862
"444","Andorra","Europe","active_cases",340
"445","Angola","Africa","active_cases",4930
"446","Anguilla","North America","active_cases",2
"447","Antigua And Barbuda","North America","active_cases",25
"448","Argentina","South America","active_cases",254491
"449","Armenia","Asia","active_cases",5632
"450","Aruba","North America","active_cases",460
"451","Australia","Australia/Oceania","active_cases",3280
"452","Austria","Europe","active_cases",5292
"453","Azerbaijan","Asia","active_cases",5900
"454","Bahamas","North America","active_cases",1947
"455","Bahrain","Asia","active_cases",1006
"456","Bangladesh","Asia","active_cases",150587
"457","Barbados","North America","active_cases",113
"458","Belarus","Europe","active_cases",2386
"459","Belgium","Europe","active_cases",41402
"460","Belize","North America","active_cases",406
"461","Benin","Africa","active_cases",150
"462","Bermuda","North America","active_cases",25
"463","Bhutan","Asia","active_cases",139
"464","Bolivia","South America","active_cases",47935
"465","Bosnia And Herzegovina","Europe","active_cases",6599
"466","Botswana","Africa","active_cases",9798
"467","Brazil","South America","active_cases",741943
"468","British Virgin Islands","North America","active_cases",555
"469","Brunei Darussalam","Asia","active_cases",54
"470","Bulgaria","Europe","active_cases",8125
"471","Burkina Faso","Africa","active_cases",35
"472","Burundi","Africa","active_cases",6298
"473","Cabo Verde","Africa","active_cases",482
"474","Cambodia","Asia","active_cases",5850
"475","Cameroon","Africa","active_cases",297
"476","Canada","North America","active_cases",6586
"477","Caribbean Netherlands","North America","active_cases",29
"478","Cayman Islands","North America","active_cases",10
"479","Central African Republic","Africa","active_cases",194
"480","Chad","Africa","active_cases",7
"481","Channel Islands","Europe","active_cases",2564
"482","Chile","South America","active_cases",9831
"483","China Hong Kong Sar","Asia","active_cases",60
"484","China Macao Sar","Asia","active_cases",5
"485","China","Asia","active_cases",971
"486","Colombia","South America","active_cases",86078
"487","Comoros","Africa","active_cases",16
"488","Congo","Africa","active_cases",587
"489","Costa Rica","North America","active_cases",72145
"490","Cote D Ivoire","Africa","active_cases",545
"491","Croatia","Europe","active_cases",1118
"492","Cuba","North America","active_cases",42870
"493","Curacao","North America","active_cases",646
"494","Cyprus","Asia","active_cases",20822
"495","Czech Republic","Europe","active_cases",2889
"496","Democratic Republic Of The Congo","Africa","active_cases",18885
"497","Denmark","Europe","active_cases",11076
"498","Djibouti","Africa","active_cases",5
"499","Dominica","North America","active_cases",10
"500","Dominican Republic","North America","active_cases",14609
"501","Ecuador","South America","active_cases",11073
"502","Egypt","Africa","active_cases",37985
"503","El Salvador","North America","active_cases",7726
"504","Equatorial Guinea","Africa","active_cases",120
"505","Eritrea","Africa","active_cases",68
"506","Estonia","Europe","active_cases",3387
"507","Ethiopia","Africa","active_cases",12480
"508","Faeroe Islands","Europe","active_cases",38
"509","Falkland Islands Malvinas","South America","active_cases",0
"510","Fiji","Australia/Oceania","active_cases",21838
"511","Finland","Europe","active_cases",59820
"512","France","Europe","active_cases",314337
"513","French Guiana","South America","active_cases",19982
"514","French Polynesia","Australia/Oceania","active_cases",693
"515","Gabon","Africa","active_cases",54
"516","Gambia","Africa","active_cases",897
"517","Georgia","Asia","active_cases",31321
"518","Germany","Europe","active_cases",31250
"519","Ghana","Africa","active_cases",4983
"520","Gibraltar","Europe","active_cases",400
"521","Greece","Europe","active_cases",33379
"522","Greenland","North America","active_cases",41
"523","Grenada","North America","active_cases",2
"524","Guadeloupe","North America","active_cases",17011
"525","Guatemala","North America","active_cases",36313
"526","Guinea Bissau","Africa","active_cases",479
"527","Guinea","Africa","active_cases",1320
"528","Guyana","South America","active_cases",757
"529","Haiti","North America","active_cases",5354
"530","Holy See","Europe","active_cases",0
"531","Honduras","North America","active_cases",188580
"532","Hungary","Europe","active_cases",31308
"533","Iceland","Europe","active_cases",1213
"534","India","Asia","active_cases",417327
"535","Indonesia","Asia","active_cases",545447
